P_ID,Step,train_acc_task,train_acc_person,test_acc_task,testing_AE,testing_t,training_cost_total,training_cost_AE,training_cost_t,training_cost_p
0,215,0.9283846,0.91546154,0.615,0.039315958,9.883252,3.4483783,0.033418432,1.7797573,0.29183385
0,220,0.9281539,0.9169231,0.614,0.0389146,10.208894,3.4684854,0.03299099,1.8046014,0.2956565
0,225,0.9330769,0.9239231,0.608,0.03856079,10.324321,3.3644087,0.03254257,1.7075433,0.29650202
0,230,0.9345385,0.9243077,0.609,0.038167816,10.393028,3.210659,0.03225953,1.5801411,0.2775804
0,235,0.9322308,0.9296923,0.621,0.03782697,10.722824,3.4015684,0.0318426,1.776048,0.27969754
0,240,0.93653846,0.9279231,0.615,0.03750229,11.096685,3.3345163,0.03157296,1.727398,0.26801085
0,245,0.9378461,0.93176925,0.605,0.03719301,11.264944,3.3281877,0.031188212,1.7418478,0.25343964
0,250,0.938,0.9346923,0.629,0.0369012,11.058169,3.2075176,0.03094054,1.6093558,0.270959
1,5,0.7636923,0.27753845,0.6,0.22373046,6.68376,10.496385,0.22516382,5.0609393,2.1343012
1,10,0.7725385,0.38015383,0.601,0.19165729,6.3945475,9.859294,0.19323902,4.807562,1.8739526
1,15,0.8066154,0.4443846,0.651,0.16615196,5.929997,9.25823,0.16805339,4.534384,1.6677979
1,20,0.8163846,0.49438462,0.694,0.14606662,5.622136,8.862677,0.14833038,4.438376,1.4866574
1,25,0.8186923,0.53238463,0.732,0.12996449,5.383918,8.482435,0.13249426,4.295642,1.3637447
1,30,0.82338464,0.55707693,0.739,0.11697436,5.20644,8.2304735,0.12000473,4.274193,1.2431238
1,35,0.82530767,0.5843077,0.738,0.10653941,5.084793,7.886021,0.109897755,4.103968,1.173325
